"filename", "language", "C++", "comment", "blank", "total"
"/home/hussein/prog-project/src/Connection.cpp", "C++", 82, 1, 34, 117
"/home/hussein/prog-project/src/Driver.cpp", "C++", 23, 0, 6, 29
"/home/hussein/prog-project/src/Logger.cpp", "C++", 25, 0, 1, 26
"/home/hussein/prog-project/src/Response.cpp", "C++", 2, 0, 2, 4
"/home/hussein/prog-project/src/Server.cpp", "C++", 115, 3, 25, 143
"/home/hussein/prog-project/src/String.cpp", "C++", 86, 0, 28, 114
"/home/hussein/prog-project/src/StringValue.cpp", "C++", 29, 0, 18, 47
"/home/hussein/prog-project/src/Type.cpp", "C++", 66, 0, 17, 83
"/home/hussein/prog-project/src/Value.cpp", "C++", 17, 0, 7, 24
"/home/hussein/prog-project/src/command_handler.cpp", "C++", 66, 5, 22, 93
"/home/hussein/prog-project/src/config.cpp", "C++", 85, 11, 15, 111
"/home/hussein/prog-project/src/datastore.cpp", "C++", 113, 10, 27, 150
"/home/hussein/prog-project/src/exception.cpp", "C++", 10, 0, 4, 14
"Total", "-", 719, 30, 206, 955
